date,ticker,title,description,url,source,domain,provider
2023-04-01,AAPL,Apple Inc . ( NASDAQ : AAPL ) Shares Acquired by Well Done LLC,,https://www.etfdailynews.com/2023/04/01/apple-inc-nasdaqaapl-shares-acquired-by-well-done-llc/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Apple Inc . ( NASDAQ : AAPL ) Shares Purchased by 4J Wealth Management LLC,,https://www.etfdailynews.com/2023/04/01/apple-inc-nasdaqaapl-shares-purchased-by-4j-wealth-management-llc/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,BlackDiamond Wealth Management Inc . Buys 678 Shares of Apple Inc . ( NASDAQ : AAPL ) ,,https://www.etfdailynews.com/2023/04/01/blackdiamond-wealth-management-inc-buys-678-shares-of-apple-inc-nasdaqaapl/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,"BLB & B Advisors LLC Sells 6 , 520 Shares of Apple Inc . ( NASDAQ : AAPL ) ",,https://www.etfdailynews.com/2023/04/01/blbb-advisors-llc-sells-6520-shares-of-apple-inc-nasdaqaapl/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Apple Inc . ( NASDAQ : AAPL ) Stake Reduced by Bank of Stockton,,https://www.etfdailynews.com/2023/04/01/apple-inc-nasdaqaapl-stake-reduced-by-bank-of-stockton/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Apple Inc . ( NASDAQ : AAPL ) Stake Lessened by MBE Wealth Management LLC,,https://www.etfdailynews.com/2023/04/01/apple-inc-nasdaqaapl-stake-lessened-by-mbe-wealth-management-llc/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Handelsinvest Investeringsforvaltning Lowers Position in Apple Inc . ( NASDAQ : AAPL ) ,,https://www.etfdailynews.com/2023/04/01/handelsinvest-investeringsforvaltning-lowers-position-in-apple-inc-nasdaqaapl/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Lake Hills Wealth Management LLC Cuts Stake in Apple Inc . ( NASDAQ : AAPL ) ,,https://www.etfdailynews.com/2023/04/01/lake-hills-wealth-management-llc-cuts-stake-in-apple-inc-nasdaqaapl/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,Acute Investment Advisory LLC Reduces Position in Apple Inc . ( NASDAQ : AAPL ) ,,https://www.etfdailynews.com/2023/04/01/acute-investment-advisory-llc-reduces-position-in-apple-inc-nasdaqaapl/,etfdailynews.com,www.etfdailynews.com,gdelt
2023-04-01,AAPL,GM Taps Google To Phase Out Apple CarPlay From EVs Starting With 2024 Chevrolet Blazer,https://c.biztoc.com/p/2ad0aa9332a20acf/ogs.webp,https://biztoc.com/x/2ad0aa9332a20acf,biztoc.com,biztoc.com,gdelt
2023-04-01,AAPL,क्रोममा पपअप लाई कसरी रोक्ने ? ,https://www.onlinekhabar.com/wp-content/uploads/2019/02/Google-Chrome-1.jpg,https://www.onlinekhabar.com/2023/04/1285946,onlinekhabar.com,www.onlinekhabar.com,gdelt
2023-04-01,AAPL,Apple Is Still a Buy Despite Market Rumors of an Impending Recession,,https://www.theglobeandmail.com/investing/markets/stocks/AAPL-Q/pressreleases/15591730/apple-is-still-a-buy-despite-market-rumors-of-an-impending-recession/,theglobeandmail.com,www.theglobeandmail.com,gdelt
2023-04-01,AAPL,Indices Jump on Inflation Data ; Nasdaq is having its best quarter since 2020,https://www.reuters.com/resizer/e0HHo6_4eUot6vRsOUsG_GdUwmc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZIJRSAGHOZJEZLUJJHLCVHJL6U.jpg,https://www.thepacket.ca/indices-jump-on-inflation-data-nasdaq-is-having-its-best-quarter-since-2020/,thepacket.ca,www.thepacket.ca,gdelt
2023-04-01,AMZN,"Amazon must face California lawsuit claiming its prices are too high , judge says",https://c.biztoc.com/p/c528d6f8eb4f2a96/ogs.webp,https://biztoc.com/x/c528d6f8eb4f2a96,biztoc.com,biztoc.com,gdelt
2023-04-01,AMZN,A grassroots group took on Amazon and won . Then came the hard part,https://c.biztoc.com/p/e41a66e5f48dfba3/ogs.webp,https://biztoc.com/x/e41a66e5f48dfba3,biztoc.com,biztoc.com,gdelt
